Active__c,Balance__c,Balance_With_Jobs__c,Bill_With_Parent__c,BillAddr__c,Billing_Address__c,Billing_City__c,Billing_Country__c,Billing_State__c,Billing_Street_1__c,Billing_Street_2__c,Billing_Zip_Code__c,Client_Entity_Id__c,Company_Name__c,Created_from_Account__c,Display_Name__c,Family_Name__c,Fully_Qualified_Name__c,Given_Name__c,Has_Error__c,Id,Is_Project__c,Job__c,Name,Parent_Quickbooks_Customer__c,Parent_Quickbooks_Customer__r.Name,Parent_Ref__c,Preferred_Delivery_Method__c,Primary_Email_Address__c,Primary_Phone__c,Print_On_Check_Name__c,Quickbooks_Account__c,Quickbooks_Error__c,Quickbooks_Id__c,Send_to_Quickbooks__c,Shipping_Address__c,Shipping_City__c,Shipping_Country__c,Shipping_State__c,Shipping_Street_1__c,Shipping_Street_2__c,Shipping_Zip_Code__c,Sparse__c,Sync_Token__c,Taxable__c,V4ID_Pseudonym__c
true,-87,-87,false,,"{""QBLong"":null,""PostalCode"":""94326"",""Line5"":null,""Line4"":null,""Line3"":null,""Line2"":null,""Line1"":""4581 Finch St."",""Lat"":""INVALID"",""Id"":""2"",""CountrySubDivisionCode"":""CA"",""City"":""Bayshore""}",Bayshore,CA,,4581 Finch St.,,94326,0,Amy's Bird Sanctuary,false,Amy's Bird Sanctuary,Lauterbach,Amy's Bird Sanctuary,Amy,false,a06WE00000aaG1VYAU,false,false,Amy's Bird Sanctuary,,,,Print,birds@intuit.com,(650) 555-3311,Amy's Bird Sanctuary,Quickbooks,,Quickbooks-1,false,"{""QBLong"":null,""PostalCode"":""94326"",""Line5"":null,""Line4"":null,""Line3"":null,""Line2"":null,""Line1"":""4581 Finch St."",""Lat"":null,""Id"":""96"",""CountrySubDivisionCode"":""CA"",""City"":""Bayshore""}",Bayshore,CA,CA,4581 Finch St.,,94326,false,1,true,002098bbbc0fa527d1477ebe915aa7588d28eb
true,-215,-215,false,,"{""QBLong"":null,""PostalCode"":""94213"",""Line5"":null,""Line4"":null,""Line3"":null,""Line2"":null,""Line1"":""12 Ocean Dr."",""Lat"":""37.4307072"",""Id"":""3"",""CountrySubDivisionCode"":""CA"",""City"":""Half Moon Bay""}",Half Moon Bay,CA,,12 Ocean Dr.,,94213,0,Bill's Windsurf Shop,false,Bill's Windsurf Shop,Lucchini,Bill's Windsurf Shop,Bill,false,a06WE00000aaG1WYAU,false,false,Bill's Windsurf Shop,,,,Print,surf@intuit.com,(415) 444-6538,Bill's Windsurf Shop,Quickbooks,,Quickbooks-2,false,,,,,,,,false,2,false,0020986e11fd18045e48ca903a1634cb9ef4b3
true,10,10,false,,"{""QBLong"":null,""PostalCode"":""94213"",""Line5"":null,""Line4"":null,""Line3"":null,""Line2"":null,""Line1"":""65 Ocean Dr."",""Lat"":""37.4300318"",""Id"":""4"",""CountrySubDivisionCode"":""CA"",""City"":""Half Moon Bay""}",Half Moon Bay,CA,,65 Ocean Dr.,,94213,0,Cool Cars,false,Cool Cars,Pariente,Cool Cars,Grace,false,a06WE00000aaG1XYAU,false,false,Cool Cars,,,,Print,cool_cars@intuit.com,(415) 555-9933,Cool Cars,Quickbooks,,Quickbooks-3,false,,,,,,,,false,1,false,002098ece321adb93d4f9b87292683de4e09d5
true,0,0,false,,"{""QBLong"":null,""PostalCode"":""94303"",""Line5"":null,""Line4"":null,""Line3"":null,""Line2"":null,""Line1"":""321 Channing"",""Lat"":""37.443231"",""Id"":""5"",""CountrySubDivisionCode"":""CA"",""City"":""Palo Alto""}",Palo Alto,CA,,321 Channing,,94303,0,Diego Rodriguez,false,Diego Rodriguez,Rodriguez,Diego Rodriguez,Diego,false,a06WE00000aaG1YYAU,false,false,Diego Rodriguez,,,,Print,diego@rodriguez.com,(650) 555-4477,Diego Rodriguez,Quickbooks,,Quickbooks-4,false,,,,,,,,false,2,false,00209854f8cb0889d345a0ba70712250d10897
true,-390,-390,false,,"{""QBLong"":null,""PostalCode"":""85719"",""Line5"":null,""Line4"":null,""Line3"":null,""Line2"":null,""Line1"":""25 Court St."",""Lat"":""32.2841116"",""Id"":""6"",""CountrySubDivisionCode"":""AZ"",""City"":""Tucson""}",Tucson,AZ,,25 Court St.,,85719,0,Dukes Basketball Camp,false,Dukes Basketball Camp,Dukes,Dukes Basketball Camp,Peter,false,a06WE00000aaG1ZYAU,false,false,Dukes Basketball Camp,,,,Print,dukes_bball@intuit.com,(520) 420-5638,Dukes Basketball Camp,Quickbooks,,Quickbooks-5,false,"{""QBLong"":null,""PostalCode"":""85719"",""Line5"":null,""Line4"":null,""Line3"":null,""Line2"":null,""Line1"":""25 Court St."",""Lat"":null,""Id"":""97"",""CountrySubDivisionCode"":""AZ"",""City"":""Tucson""}",Tucson,AZ,AZ,25 Court St.,,85719,false,2,true,002098715f72fb25b54fd3a23b0b2c046c0abc
true,0,0,false,,,,,,,,,0,Dylan Sollfrank,false,Dylan Sollfrank,Sollfrank,Dylan Sollfrank,Dylan,false,a06WE00000aaG1aYAE,false,false,Dylan Sollfrank,,,,Print,,,Dylan Sollfrank,Quickbooks,,Quickbooks-6,false,,,,,,,,false,2,false,0020980c38d12992fe4146ada11b74855a2856
true,336,843.5,false,,"{""QBLong"":null,""PostalCode"":""94482"",""Line5"":null,""Line4"":null,""Line3"":null,""Line2"":null,""Line1"":""370 Easy St."",""Lat"":""37.4031672"",""Id"":""7"",""CountrySubDivisionCode"":""CA"",""City"":""Middlefield""}",Middlefield,CA,,370 Easy St.,,94482,0,Freeman Sporting Goods,false,Freeman Sporting Goods,Freeman,Freeman Sporting Goods,Kirby,false,a06WE00000aaG1bYAE,false,false,Freeman Sporting Goods,,,,Print,sporting_goods@intuit.com,(650) 555-0987,Freeman Sporting Goods,Quickbooks,,Quickbooks-7,false,"{""QBLong"":null,""PostalCode"":""94482"",""Line5"":null,""Line4"":null,""Line3"":null,""Line2"":null,""Line1"":""370 Easy St."",""Lat"":null,""Id"":""98"",""CountrySubDivisionCode"":""CA"",""City"":""Middlefield""}",Middlefield,CA,CA,370 Easy St.,,94482,false,1,false,0020984fba7747b50145d8af2edb8a191f8e7c
true,629.1,629.1,false,,"{""QBLong"":null,""PostalCode"":""94303"",""Line5"":null,""Line4"":null,""Line3"":null,""Line2"":null,""Line1"":""1987 Main St."",""Lat"":""37.445013"",""Id"":""10"",""CountrySubDivisionCode"":""CA"",""City"":""Middlefield""}",Middlefield,CA,,1987 Main St.,,94303,0,Geeta Kalapatapu,false,Geeta Kalapatapu,Kalapatapu,Geeta Kalapatapu,Geeta,false,a06WE00000aaG1cYAE,false,false,Geeta Kalapatapu,,,,Print,geeta@kalapatapu.com,(650) 555-0022,Geeta Kalapatapu,Quickbooks,,Quickbooks-10,false,"{""QBLong"":null,""PostalCode"":""94303"",""Line5"":null,""Line4"":null,""Line3"":null,""Line2"":null,""Line1"":""1987 Main St."",""Lat"":null,""Id"":""99"",""CountrySubDivisionCode"":""CA"",""City"":""Middlefield""}",Middlefield,CA,CA,1987 Main St.,,94303,false,1,false,002098f88b735e52704aca8d5bc3b927e44003
true,124,124,false,,"{""QBLong"":null,""PostalCode"":""94213"",""Line5"":null,""Line4"":null,""Line3"":null,""Line2"":null,""Line1"":""1045 Main St."",""Lat"":""37.4559621"",""Id"":""11"",""CountrySubDivisionCode"":""CA"",""City"":""Half Moon Bay""}",Half Moon Bay,CA,,1045 Main St.,,94213,0,Gevelber Photography,false,Gevelber Photography,Gevelber,Gevelber Photography,Lisa,false,a06WE00000aaG1dYAE,false,false,Gevelber Photography,,,,Print,photography@intuit.com,(415) 222-4345,Gevelber Photography,Quickbooks,,Quickbooks-11,false,"{""QBLong"":null,""PostalCode"":""94213"",""Line5"":null,""Line4"":null,""Line3"":null,""Line2"":null,""Line1"":""1045 Main St."",""Lat"":null,""Id"":""100"",""CountrySubDivisionCode"":""CA"",""City"":""Half Moon Bay""}",Half Moon Bay,CA,CA,1045 Main St.,,94213,false,2,false,002098754d802608d04e30b4b79d43963b076e
true,81,81,false,,"{""QBLong"":null,""PostalCode"":""94305"",""Line5"":null,""Line4"":null,""Line3"":null,""Line2"":null,""Line1"":""12 Willow Rd."",""Lat"":""37.4495308"",""Id"":""12"",""CountrySubDivisionCode"":""CA"",""City"":""Menlo Park""}",Menlo Park,CA,,12 Willow Rd.,,94305,0,Jeff's Jalopies,false,Jeff's Jalopies,Chin,Jeff's Jalopies,Jeff,false,a06WE00000aaG1eYAE,false,false,Jeff's Jalopies,,,,Print,jalopies@intuit.com,(650) 555-8989,Jeff's Jalopies,Quickbooks,,Quickbooks-12,false,"{""QBLong"":null,""PostalCode"":""94305"",""Line5"":null,""Line4"":null,""Line3"":null,""Line2"":null,""Line1"":""12 Willow Rd."",""Lat"":null,""Id"":""101"",""CountrySubDivisionCode"":""CA"",""City"":""Menlo Park""}",Menlo Park,CA,CA,12 Willow Rd.,,94305,false,1,false,002098f8fc727303d843ed8654810027fa0335
true,450,450,false,,"{""QBLong"":null,""PostalCode"":""94304"",""Line5"":null,""Line4"":null,""Line3"":null,""Line2"":null,""Line1"":""85 Pine St."",""Lat"":""37.4451342"",""Id"":""13"",""CountrySubDivisionCode"":""CA"",""City"":""Menlo Park""}",Menlo Park,CA,,85 Pine St.,,94304,0,John Melton,false,John Melton,Melton,John Melton,John,false,a06WE00000aaG1fYAE,false,false,John Melton,,,,Print,john@melton.com,(650) 555-5879,John Melton,Quickbooks,,Quickbooks-13,false,"{""QBLong"":null,""PostalCode"":""94304"",""Line5"":null,""Line4"":null,""Line3"":null,""Line2"":null,""Line1"":""85 Pine St."",""Lat"":null,""Id"":""102"",""CountrySubDivisionCode"":""CA"",""City"":""Menlo Park""}",Menlo Park,CA,CA,85 Pine St.,,94304,false,1,false,002098e2d06dade95445ba8facb85443dbbbf1
true,0,0,false,,"{""QBLong"":null,""PostalCode"":""94304"",""Line5"":null,""Line4"":null,""Line3"":null,""Line2"":null,""Line1"":""45 First St."",""Lat"":null,""Id"":""103"",""CountrySubDivisionCode"":""CA"",""City"":""Menlo Park""}",Menlo Park,CA,,45 First St.,,94304,0,Kate Whelan,false,Kate Whelan,Whelan,Kate Whelan,Kate,false,a06WE00000aaG1gYAE,false,false,Kate Whelan,,,,Print,kate@whelan.com,(650) 554-8822,Kate Whelan,Quickbooks,,Quickbooks-14,false,"{""QBLong"":null,""PostalCode"":""94304"",""Line5"":null,""Line4"":null,""Line3"":null,""Line2"":null,""Line1"":""45 First St."",""Lat"":null,""Id"":""104"",""CountrySubDivisionCode"":""CA"",""City"":""Menlo Park""}",Menlo Park,CA,CA,45 First St.,,94304,false,2,false,002098e649c1b1a4d64886b0742d2e39c68900
true,75,75,false,,"{""QBLong"":null,""PostalCode"":""94303"",""Line5"":null,""Line4"":null,""Line3"":null,""Line2"":null,""Line1"":""789 Sugar Lane"",""Lat"":""37.4530553"",""Id"":""16"",""CountrySubDivisionCode"":""CA"",""City"":""Middlefield""}",Middlefield,CA,,789 Sugar Lane,,94303,0,Kookies by Kathy,false,Kookies by Kathy,Kuplis,Kookies by Kathy,Kathy,false,a06WE00000aaG1hYAE,false,false,Kookies by Kathy,,,,Print,qbwebsamplecompany@yahoo.com,(650) 555-7896,Kookies by Kathy,Quickbooks,,Quickbooks-16,false,,,,,,,,false,0,false,002098ee90fc0ad78f4f529952ba2423fe5473
true,314.28,314.28,false,,"{""QBLong"":null,""PostalCode"":""94304"",""Line5"":null,""Line4"":null,""Line3"":null,""Line2"":null,""Line1"":""36 Willow Rd"",""Lat"":""37.450412"",""Id"":""17"",""CountrySubDivisionCode"":""CA"",""City"":""Menlo Park""}",Menlo Park,CA,,36 Willow Rd,,94304,0,Mark Cho,false,Mark Cho,Cho,Mark Cho,Mark,false,a06WE00000aaG1iYAE,false,false,Mark Cho,,,,Print,mark@cho.com,(650) 554-1479,Mark Cho,Quickbooks,,Quickbooks-17,false,"{""QBLong"":null,""PostalCode"":""94304"",""Line5"":null,""Line4"":null,""Line3"":null,""Line2"":null,""Line1"":""36 Willow Rd"",""Lat"":null,""Id"":""105"",""CountrySubDivisionCode"":""CA"",""City"":""Menlo Park""}",Menlo Park,CA,CA,36 Willow Rd,,94304,false,1,false,0020985d0ba3c421f641c9ae8bfbc8414d8727
true,954.75,954.75,false,,"{""QBLong"":null,""PostalCode"":""94303"",""Line5"":null,""Line4"":null,""Line3"":null,""Line2"":null,""Line1"":""900 Main St."",""Lat"":""37.445013"",""Id"":""18"",""CountrySubDivisionCode"":""CA"",""City"":""Middlefield""}",Middlefield,CA,,900 Main St.,,94303,0,Paulsen Medical Supplies,false,Paulsen Medical Supplies,Paulsen,Paulsen Medical Supplies,Kathy,false,a06WE00000aaG1jYAE,false,false,Paulsen Medical Supplies,,,,Print,medical@intuit.com,(650) 557-4569,Paulsen Medical Supplies,Quickbooks,,Quickbooks-18,false,"{""QBLong"":null,""PostalCode"":""94304"",""Line5"":null,""Line4"":null,""Line3"":null,""Line2"":null,""Line1"":""38921 S. Boise Ave"",""Lat"":""37.3989376"",""Id"":""19"",""CountrySubDivisionCode"":""CA"",""City"":""Middlefield""}",Middlefield,CA,CA,38921 S. Boise Ave,,94304,false,1,false,0020986bc3a10d7b7f4baf8e348035c85e3f2e
true,0,0,false,,"{""QBLong"":null,""PostalCode"":""07079"",""Line5"":null,""Line4"":null,""Line3"":null,""Line2"":null,""Line1"":""350 Mountain View Dr."",""Lat"":""40.7633073"",""Id"":""15"",""CountrySubDivisionCode"":""NJ"",""City"":""South Orange""}",South Orange,NJ,,350 Mountain View Dr.,,07079,0,Pye's Cakes,false,Pye's Cakes,Pye,Pye's Cakes,Karen,false,a06WE00000aaG1kYAE,false,false,Pye's Cakes,,,,Print,pyescakes@intuit.com,(973) 555-4652,Pye's Cakes,Quickbooks,,Quickbooks-15,false,"{""QBLong"":null,""PostalCode"":""07079"",""Line5"":null,""Line4"":null,""Line3"":null,""Line2"":null,""Line1"":""350 Mountain View Dr."",""Lat"":null,""Id"":""106"",""CountrySubDivisionCode"":""NJ"",""City"":""South Orange""}",South Orange,NJ,NJ,350 Mountain View Dr.,,07079,false,3,false,0020983b845fce0e934cb78cb38f0dccca88e8
true,0,0,false,,"{""QBLong"":null,""PostalCode"":""94326"",""Line5"":null,""Line4"":null,""Line3"":null,""Line2"":null,""Line1"":""753 Cedar St."",""Lat"":""37.7077016"",""Id"":""20"",""CountrySubDivisionCode"":""CA"",""City"":""Bayshore""}",Bayshore,CA,,753 Cedar St.,,94326,0,Rago Travel Agency,false,Rago Travel Agency,Rago,Rago Travel Agency,Jeff,false,a06WE00000aaG1lYAE,false,false,Rago Travel Agency,,,,Print,rago_travel@intuit.com,(650) 555-1596,Rago Travel Agency,Quickbooks,,Quickbooks-19,false,"{""QBLong"":null,""PostalCode"":""94326"",""Line5"":null,""Line4"":null,""Line3"":null,""Line2"":null,""Line1"":""753 Cedar St."",""Lat"":null,""Id"":""107"",""CountrySubDivisionCode"":""CA"",""City"":""Bayshore""}",Bayshore,CA,CA,753 Cedar St.,,94326,false,2,false,002098c5e9270a2e724235956a82991a6b714f
true,226,226,false,,"{""QBLong"":null,""PostalCode"":""94326"",""Line5"":null,""Line4"":null,""Line3"":null,""Line2"":null,""Line1"":""500 Red Rock Rd."",""Lat"":""INVALID"",""Id"":""21"",""CountrySubDivisionCode"":""CA"",""City"":""Bayshore""}",Bayshore,CA,,500 Red Rock Rd.,,94326,0,Red Rock Diner,false,Red Rock Diner,Martini,Red Rock Diner,Stephanie,false,a06WE00000aaG1mYAE,false,false,Red Rock Diner,,,,Print,qbwebsamplecompany@yahoo.com,(650) 555-4973,Red Rock Diner,Quickbooks,,Quickbooks-20,false,"{""QBLong"":null,""PostalCode"":""94326"",""Line5"":null,""Line4"":null,""Line3"":null,""Line2"":null,""Line1"":""500 Red Rock Rd."",""Lat"":null,""Id"":""108"",""CountrySubDivisionCode"":""CA"",""City"":""Bayshore""}",Bayshore,CA,CA,500 Red Rock Rd.,,94326,false,1,false,002098427de92f686a47f5b7c1526e7b4883d5
true,78.6,78.6,false,,"{""QBLong"":null,""PostalCode"":""95021"",""Line5"":null,""Line4"":null,""Line3"":null,""Line2"":null,""Line1"":""847 California Ave."",""Lat"":""37.3313585"",""Id"":""22"",""CountrySubDivisionCode"":""CA"",""City"":""San Jose""}",San Jose,CA,,847 California Ave.,,95021,0,Rondonuwu Fruit and Vegi,false,Rondonuwu Fruit and Vegi,and Vegi,Rondonuwu Fruit and Vegi,Rondonuwu,false,a06WE00000aaG1nYAE,false,false,Rondonuwu Fruit and Vegi,,,,Print,tony@rondonuwu.com,(650) 555-2645,Rondonuwu Fruit and Vegi,Quickbooks,,Quickbooks-21,false,"{""QBLong"":null,""PostalCode"":""95021"",""Line5"":null,""Line4"":null,""Line3"":null,""Line2"":null,""Line1"":""847 California Ave."",""Lat"":null,""Id"":""109"",""CountrySubDivisionCode"":""CA"",""City"":""San Jose""}",San Jose,CA,CA,847 California Ave.,,95021,false,1,false,002098989e3c8ed6cb4d21b67d1494face5064
true,0,274.5,false,,"{""QBLong"":null,""PostalCode"":""94303"",""Line5"":null,""Line4"":null,""Line3"":null,""Line2"":null,""Line1"":""77 University"",""Lat"":""37.4431445"",""Id"":""23"",""CountrySubDivisionCode"":""CA"",""City"":""Palo Alto""}",Palo Alto,CA,,77 University,,94303,0,Shara Barnett,false,Shara Barnett,Barnett,Shara Barnett,Shara,false,a06WE00000aaG1oYAE,false,false,Shara Barnett,,,,Print,shara@barnett.com,(650) 555-4563,Shara Barnett,Quickbooks,,Quickbooks-22,false,"{""QBLong"":null,""PostalCode"":""94303"",""Line5"":null,""Line4"":null,""Line3"":null,""Line2"":null,""Line1"":""77 University"",""Lat"":null,""Id"":""110"",""CountrySubDivisionCode"":""CA"",""City"":""Palo Alto""}",Palo Alto,CA,CA,77 University,,94303,false,1,false,00209896f29254b6dd43f3a2deb02154607ae5
true,362.07,362.07,false,,"{""QBLong"":null,""PostalCode"":""94303"",""Line5"":null,""Line4"":null,""Line3"":null,""Line2"":null,""Line1"":""5647 Cypress Hill Ave."",""Lat"":""37.4238562"",""Id"":""25"",""CountrySubDivisionCode"":""CA"",""City"":""Middlefield""}",Middlefield,CA,,5647 Cypress Hill Ave.,,94303,0,Sonnenschein Family Store,false,Sonnenschein Family Store,Sonnenschein,Sonnenschein Family Store,Russ,false,a06WE00000aaG1pYAE,false,false,Sonnenschein Family Store,,,,Print,familiystore@intuit.com,(650) 557-8463,Sonnenschein Family Store,Quickbooks,,Quickbooks-24,false,"{""QBLong"":null,""PostalCode"":""94303"",""Line5"":null,""Line4"":null,""Line3"":null,""Line2"":null,""Line1"":""5647 Cypress Hill Ave."",""Lat"":null,""Id"":""111"",""CountrySubDivisionCode"":""CA"",""City"":""Middlefield""}",Middlefield,CA,CA,5647 Cypress Hill Ave.,,94303,false,1,false,002098394c32fce7f8472d9a85cc73ec123595
true,160,160,false,,"{""QBLong"":null,""PostalCode"":""07040"",""Line5"":null,""Line4"":null,""Line3"":null,""Line2"":null,""Line1"":""898 Elm St."",""Lat"":""40.7312816"",""Id"":""26"",""CountrySubDivisionCode"":""NJ"",""City"":""Maplewood""}",Maplewood,NJ,,898 Elm St.,,07040,0,Sushi by Katsuyuki,false,Sushi by Katsuyuki,Yanagawa,Sushi by Katsuyuki,Katsuyuki,false,a06WE00000aaG1qYAE,false,false,Sushi by Katsuyuki,,,,Print,sushi@intuit.com,(505) 570-0147,Sushi by Katsuyuki,Quickbooks,,Quickbooks-25,false,"{""QBLong"":null,""PostalCode"":""07040"",""Line5"":null,""Line4"":null,""Line3"":null,""Line2"":null,""Line1"":""898 Elm St."",""Lat"":null,""Id"":""112"",""CountrySubDivisionCode"":""NJ"",""City"":""Maplewood""}",Maplewood,NJ,NJ,898 Elm St.,,07040,false,3,false,00209824839185f31e4aa08bccf972d5141b0a
